sample_id,scenario_id,core_start_time,core_end_time,window_start_time,window_end_time,original_start_time,original_end_time,core_start_offset,core_end_offset
S0098,,2020-09-07 08:00:00,2020-09-07 15:00:00,2020-09-06 18:00:00,2020-09-08 05:00:00,2020-09-07 06:00:00,2020-09-07 17:00:00,14,21
S0099,,2020-09-28 11:00:00,2020-09-28 14:00:00,2020-09-27 18:00:00,2020-09-29 05:00:00,2020-09-28 09:00:00,2020-09-28 16:00:00,17,20
S0100,,2020-09-30 11:00:00,2020-09-30 15:00:00,2020-09-29 19:00:00,2020-10-01 06:00:00,2020-09-30 09:00:00,2020-09-30 17:00:00,16,20
S0103,,2020-10-03 11:00:00,2020-10-03 14:00:00,2020-10-02 18:00:00,2020-10-04 05:00:00,2020-10-03 09:00:00,2020-10-03 16:00:00,17,20
S0104,,2021-06-15 11:00:00,2021-06-15 15:00:00,2021-06-14 19:00:00,2021-06-16 06:00:00,2021-06-15 09:00:00,2021-06-15 17:00:00,16,20
S0105,,2021-06-16 09:00:00,2021-06-16 16:00:00,2021-06-15 18:00:00,2021-06-17 05:00:00,2021-06-16 07:00:00,2021-06-16 18:00:00,15,22
S0106,,2021-06-17 09:00:00,2021-06-17 16:00:00,2021-06-16 18:00:00,2021-06-18 05:00:00,2021-06-17 07:00:00,2021-06-17 18:00:00,15,22
S0107,,2021-06-18 09:00:00,2021-06-18 16:00:00,2021-06-17 18:00:00,2021-06-19 05:00:00,2021-06-18 07:00:00,2021-06-18 18:00:00,15,22
S0108,,2021-06-19 10:00:00,2021-06-19 16:00:00,2021-06-18 19:00:00,2021-06-20 06:00:00,2021-06-19 08:00:00,2021-06-19 18:00:00,15,21
S0111,,2021-06-26 10:00:00,2021-06-26 16:00:00,2021-06-25 19:00:00,2021-06-27 06:00:00,2021-06-26 08:00:00,2021-06-26 18:00:00,15,21
S0112,,2021-06-27 09:00:00,2021-06-27 16:00:00,2021-06-26 18:00:00,2021-06-28 05:00:00,2021-06-27 07:00:00,2021-06-27 18:00:00,15,22
S0113,,2021-06-28 10:00:00,2021-06-28 16:00:00,2021-06-27 19:00:00,2021-06-29 06:00:00,2021-06-28 08:00:00,2021-06-28 18:00:00,15,21
S0114,,2021-07-02 10:00:00,2021-07-02 15:00:00,2021-07-01 18:00:00,2021-07-03 05:00:00,2021-07-02 08:00:00,2021-07-02 17:00:00,16,21
S0119,,2021-07-07 10:00:00,2021-07-07 16:00:00,2021-07-06 19:00:00,2021-07-08 06:00:00,2021-07-07 08:00:00,2021-07-07 18:00:00,15,21
S0120,,2021-07-08 09:00:00,2021-07-08 16:00:00,2021-07-07 18:00:00,2021-07-09 05:00:00,2021-07-08 07:00:00,2021-07-08 18:00:00,15,22
S0121,,2021-07-09 08:00:00,2021-07-09 16:00:00,2021-07-08 18:00:00,2021-07-10 05:00:00,2021-07-09 06:00:00,2021-07-09 18:00:00,14,22
S0122,,2021-07-10 08:00:00,2021-07-10 17:00:00,2021-07-09 18:00:00,2021-07-11 05:00:00,2021-07-10 06:00:00,2021-07-10 19:00:00,14,23
S0123,,2021-07-11 09:00:00,2021-07-11 16:00:00,2021-07-10 18:00:00,2021-07-12 05:00:00,2021-07-11 07:00:00,2021-07-11 18:00:00,15,22
S0124,,2021-07-12 10:00:00,2021-07-12 15:00:00,2021-07-11 18:00:00,2021-07-13 05:00:00,2021-07-12 08:00:00,2021-07-12 17:00:00,16,21
S0125,,2021-07-13 11:00:00,2021-07-13 15:00:00,2021-07-12 19:00:00,2021-07-14 06:00:00,2021-07-13 09:00:00,2021-07-13 17:00:00,16,20
S0128,,2021-07-17 10:00:00,2021-07-17 15:00:00,2021-07-16 18:00:00,2021-07-18 05:00:00,2021-07-17 08:00:00,2021-07-17 17:00:00,16,21
S0129,,2021-07-20 11:00:00,2021-07-20 15:00:00,2021-07-19 19:00:00,2021-07-21 06:00:00,2021-07-20 09:00:00,2021-07-20 17:00:00,16,20
S0131,,2021-07-22 11:00:00,2021-07-22 14:00:00,2021-07-21 18:00:00,2021-07-23 05:00:00,2021-07-22 09:00:00,2021-07-22 16:00:00,17,20
S0132,,2021-07-23 11:00:00,2021-07-23 14:00:00,2021-07-22 18:00:00,2021-07-24 05:00:00,2021-07-23 09:00:00,2021-07-23 16:00:00,17,20
S0133,,2021-07-27 11:00:00,2021-07-27 14:00:00,2021-07-26 18:00:00,2021-07-28 05:00:00,2021-07-27 09:00:00,2021-07-27 16:00:00,17,20
S0134,,2021-07-28 11:00:00,2021-07-28 15:00:00,2021-07-27 19:00:00,2021-07-29 06:00:00,2021-07-28 09:00:00,2021-07-28 17:00:00,16,20
S0137,,2021-08-02 11:00:00,2021-08-02 15:00:00,2021-08-01 19:00:00,2021-08-03 06:00:00,2021-08-02 09:00:00,2021-08-02 17:00:00,16,20
S0138,,2021-08-03 10:00:00,2021-08-03 16:00:00,2021-08-02 19:00:00,2021-08-04 06:00:00,2021-08-03 08:00:00,2021-08-03 18:00:00,15,21
S0143,,2021-08-08 11:00:00,2021-08-08 15:00:00,2021-08-07 19:00:00,2021-08-09 06:00:00,2021-08-08 09:00:00,2021-08-08 17:00:00,16,20
S0144,,2021-08-09 11:00:00,2021-08-09 15:00:00,2021-08-08 19:00:00,2021-08-10 06:00:00,2021-08-09 09:00:00,2021-08-09 17:00:00,16,20
S0145,,2021-08-10 10:00:00,2021-08-10 16:00:00,2021-08-09 19:00:00,2021-08-11 06:00:00,2021-08-10 08:00:00,2021-08-10 18:00:00,15,21
S0149,,2021-08-14 10:00:00,2021-08-14 16:00:00,2021-08-13 19:00:00,2021-08-15 06:00:00,2021-08-14 08:00:00,2021-08-14 18:00:00,15,21
S0150,,2021-08-15 10:00:00,2021-08-15 16:00:00,2021-08-14 19:00:00,2021-08-16 06:00:00,2021-08-15 08:00:00,2021-08-15 18:00:00,15,21
S0152,,2021-08-26 11:00:00,2021-08-26 15:00:00,2021-08-25 19:00:00,2021-08-27 06:00:00,2021-08-26 09:00:00,2021-08-26 17:00:00,16,20
S0153,,2021-08-27 10:00:00,2021-08-27 16:00:00,2021-08-26 19:00:00,2021-08-28 06:00:00,2021-08-27 08:00:00,2021-08-27 18:00:00,15,21
S0154,,2021-08-28 10:00:00,2021-08-28 16:00:00,2021-08-27 19:00:00,2021-08-29 06:00:00,2021-08-28 08:00:00,2021-08-28 18:00:00,15,21
S0155,,2021-08-29 09:00:00,2021-08-29 16:00:00,2021-08-28 18:00:00,2021-08-30 05:00:00,2021-08-29 07:00:00,2021-08-29 18:00:00,15,22
S0156,,2021-08-30 10:00:00,2021-08-30 15:00:00,2021-08-29 18:00:00,2021-08-31 05:00:00,2021-08-30 08:00:00,2021-08-30 17:00:00,16,21
S0157,,2021-09-04 11:00:00,2021-09-04 15:00:00,2021-09-03 19:00:00,2021-09-05 06:00:00,2021-09-04 09:00:00,2021-09-04 17:00:00,16,20
S0158,,2021-09-05 10:00:00,2021-09-05 15:00:00,2021-09-04 18:00:00,2021-09-06 05:00:00,2021-09-05 08:00:00,2021-09-05 17:00:00,16,21
S0159,,2021-09-06 10:00:00,2021-09-06 15:00:00,2021-09-05 18:00:00,2021-09-07 05:00:00,2021-09-06 08:00:00,2021-09-06 17:00:00,16,21
S0161,,2021-09-08 10:00:00,2021-09-08 16:00:00,2021-09-07 19:00:00,2021-09-09 06:00:00,2021-09-08 08:00:00,2021-09-08 18:00:00,15,21
S0162,,2021-09-09 10:00:00,2021-09-09 15:00:00,2021-09-08 18:00:00,2021-09-10 05:00:00,2021-09-09 08:00:00,2021-09-09 17:00:00,16,21
S0163,,2021-09-12 11:00:00,2021-09-12 15:00:00,2021-09-11 19:00:00,2021-09-13 06:00:00,2021-09-12 09:00:00,2021-09-12 17:00:00,16,20
S0164,,2021-09-13 11:00:00,2021-09-13 15:00:00,2021-09-12 19:00:00,2021-09-14 06:00:00,2021-09-13 09:00:00,2021-09-13 17:00:00,16,20
S0165,,2021-09-14 11:00:00,2021-09-14 15:00:00,2021-09-13 19:00:00,2021-09-15 06:00:00,2021-09-14 09:00:00,2021-09-14 17:00:00,16,20
S0166,,2019-01-05 09:00:00,2019-01-05 15:00:00,2019-01-04 18:00:00,2019-01-06 05:00:00,2019-01-05 07:00:00,2019-01-05 17:00:00,15,21
S0168,,2019-01-16 18:00:00,2019-01-16 21:00:00,2019-01-16 02:00:00,2019-01-17 13:00:00,2019-01-16 16:00:00,2019-01-16 23:00:00,16,19
S0169,,2019-01-17 07:00:00,2019-01-17 13:00:00,2019-01-16 16:00:00,2019-01-18 03:00:00,2019-01-17 05:00:00,2019-01-17 15:00:00,15,21
S0170,,2019-01-21 07:00:00,2019-01-21 15:00:00,2019-01-20 17:00:00,2019-01-22 04:00:00,2019-01-21 05:00:00,2019-01-21 17:00:00,14,22
S0171,,2019-02-02 04:00:00,2019-02-02 15:00:00,2019-02-01 16:00:00,2019-02-03 03:00:00,2019-02-02 02:00:00,2019-02-02 17:00:00,12,23
S0172,,2019-02-03 11:00:00,2019-02-03 14:00:00,2019-02-02 18:00:00,2019-02-04 05:00:00,2019-02-03 09:00:00,2019-02-03 16:00:00,17,20
S0173,,2019-02-04 07:00:00,2019-02-04 15:00:00,2019-02-03 17:00:00,2019-02-05 04:00:00,2019-02-04 05:00:00,2019-02-04 17:00:00,14,22
S0176,,2019-02-13 00:00:00,2019-02-13 03:00:00,2019-02-12 08:00:00,2019-02-13 19:00:00,2019-02-12 22:00:00,2019-02-13 05:00:00,16,19
S0182,,2019-03-06 08:00:00,2019-03-06 15:00:00,2019-03-05 18:00:00,2019-03-07 05:00:00,2019-03-06 06:00:00,2019-03-06 17:00:00,14,21
S0183,,2019-03-12 19:00:00,2019-03-12 23:00:00,2019-03-12 03:00:00,2019-03-13 14:00:00,2019-03-12 17:00:00,2019-03-13 01:00:00,16,20
S0184,,2019-03-13 08:00:00,2019-03-13 15:00:00,2019-03-12 18:00:00,2019-03-14 05:00:00,2019-03-13 06:00:00,2019-03-13 17:00:00,14,21
S0185,,2019-03-27 10:00:00,2019-03-27 15:00:00,2019-03-26 18:00:00,2019-03-28 05:00:00,2019-03-27 08:00:00,2019-03-27 17:00:00,16,21
S0188,,2019-04-09 07:00:00,2019-04-09 23:00:00,2019-04-08 21:00:00,2019-04-10 08:00:00,2019-04-09 05:00:00,2019-04-10 01:00:00,10,26
S0189,,2019-04-10 06:00:00,2019-04-10 16:00:00,2019-04-09 17:00:00,2019-04-11 04:00:00,2019-04-10 04:00:00,2019-04-10 18:00:00,13,23
S0191,,2019-04-20 09:00:00,2019-04-20 17:00:00,2019-04-19 19:00:00,2019-04-21 06:00:00,2019-04-20 07:00:00,2019-04-20 19:00:00,14,22
S0193,,2019-05-15 10:00:00,2019-05-15 16:00:00,2019-05-14 19:00:00,2019-05-16 06:00:00,2019-05-15 08:00:00,2019-05-15 18:00:00,15,21
S0194,,2019-05-16 06:00:00,2019-05-16 17:00:00,2019-05-15 18:00:00,2019-05-17 05:00:00,2019-05-16 04:00:00,2019-05-16 19:00:00,12,23
S0197,,2019-05-21 06:00:00,2019-05-21 18:00:00,2019-05-20 18:00:00,2019-05-22 05:00:00,2019-05-21 04:00:00,2019-05-21 20:00:00,12,24
S0199,,2019-06-06 11:00:00,2019-06-06 16:00:00,2019-06-05 20:00:00,2019-06-07 07:00:00,2019-06-06 09:00:00,2019-06-06 18:00:00,15,20
S0201,,2019-06-20 08:00:00,2019-06-20 19:00:00,2019-06-19 20:00:00,2019-06-21 07:00:00,2019-06-20 06:00:00,2019-06-20 21:00:00,12,23
S0203,,2019-09-28 09:00:00,2019-09-28 16:00:00,2019-09-27 18:00:00,2019-09-29 05:00:00,2019-09-28 07:00:00,2019-09-28 18:00:00,15,22
S0204,,2019-10-09 09:00:00,2019-10-09 16:00:00,2019-10-08 18:00:00,2019-10-10 05:00:00,2019-10-09 07:00:00,2019-10-09 18:00:00,15,22
S0205,,2019-10-17 12:00:00,2019-10-17 15:00:00,2019-10-16 20:00:00,2019-10-18 07:00:00,2019-10-17 10:00:00,2019-10-17 17:00:00,16,19
S0206,,2019-10-27 07:00:00,2019-10-27 16:00:00,2019-10-26 18:00:00,2019-10-28 05:00:00,2019-10-27 05:00:00,2019-10-27 18:00:00,13,22
S0207,,2019-11-19 11:00:00,2019-11-19 15:00:00,2019-11-18 19:00:00,2019-11-20 06:00:00,2019-11-19 09:00:00,2019-11-19 17:00:00,16,20
S0209,,2019-11-25 09:00:00,2019-11-25 15:00:00,2019-11-24 18:00:00,2019-11-26 05:00:00,2019-11-25 07:00:00,2019-11-25 17:00:00,15,21
S0210,,2019-11-26 15:00:00,2019-11-27 01:00:00,2019-11-26 02:00:00,2019-11-27 13:00:00,2019-11-26 13:00:00,2019-11-27 03:00:00,13,23
S0214,,2020-02-03 06:00:00,2020-02-03 15:00:00,2020-02-02 16:00:00,2020-02-04 03:00:00,2020-02-03 04:00:00,2020-02-03 17:00:00,14,23
S0215,,2020-02-04 08:00:00,2020-02-04 15:00:00,2020-02-03 18:00:00,2020-02-05 05:00:00,2020-02-04 06:00:00,2020-02-04 17:00:00,14,21
S0216,,2020-02-09 08:00:00,2020-02-09 15:00:00,2020-02-08 18:00:00,2020-02-10 05:00:00,2020-02-09 06:00:00,2020-02-09 17:00:00,14,21
S0217,,2020-02-10 09:00:00,2020-02-10 14:00:00,2020-02-09 18:00:00,2020-02-11 05:00:00,2020-02-10 07:00:00,2020-02-10 16:00:00,15,20
S0218,,2020-03-01 08:00:00,2020-03-01 16:00:00,2020-02-29 18:00:00,2020-03-02 05:00:00,2020-03-01 06:00:00,2020-03-01 18:00:00,14,22
S0219,,2020-03-02 07:00:00,2020-03-02 15:00:00,2020-03-01 17:00:00,2020-03-03 04:00:00,2020-03-02 05:00:00,2020-03-02 17:00:00,14,22
S0221,,2020-03-14 11:00:00,2020-03-14 15:00:00,2020-03-13 19:00:00,2020-03-15 06:00:00,2020-03-14 09:00:00,2020-03-14 17:00:00,16,20
S0222,,2020-04-01 12:00:00,2020-04-01 16:00:00,2020-03-31 20:00:00,2020-04-02 07:00:00,2020-04-01 10:00:00,2020-04-01 18:00:00,16,20
S0223,,2020-04-04 12:00:00,2020-04-04 16:00:00,2020-04-03 20:00:00,2020-04-05 07:00:00,2020-04-04 10:00:00,2020-04-04 18:00:00,16,20
S0225,,2020-05-11 10:00:00,2020-05-11 17:00:00,2020-05-10 20:00:00,2020-05-12 07:00:00,2020-05-11 08:00:00,2020-05-11 19:00:00,14,21
S0230,,2020-05-22 10:00:00,2020-05-22 17:00:00,2020-05-21 20:00:00,2020-05-23 07:00:00,2020-05-22 08:00:00,2020-05-22 19:00:00,14,21
S0232,,2020-06-06 10:00:00,2020-06-06 18:00:00,2020-06-05 20:00:00,2020-06-07 07:00:00,2020-06-06 08:00:00,2020-06-06 20:00:00,14,22
S0235,,2020-06-27 14:00:00,2020-06-27 17:00:00,2020-06-26 22:00:00,2020-06-28 09:00:00,2020-06-27 12:00:00,2020-06-27 19:00:00,16,19
S0239,,2020-10-25 10:00:00,2020-10-25 16:00:00,2020-10-24 19:00:00,2020-10-26 06:00:00,2020-10-25 08:00:00,2020-10-25 18:00:00,15,21
S0241,,2020-11-07 08:00:00,2020-11-07 16:00:00,2020-11-06 18:00:00,2020-11-08 05:00:00,2020-11-07 06:00:00,2020-11-07 18:00:00,14,22
S0242,,2020-11-08 07:00:00,2020-11-08 18:00:00,2020-11-07 18:00:00,2020-11-09 05:00:00,2020-11-08 05:00:00,2020-11-08 20:00:00,13,24
S0243,,2020-11-17 10:00:00,2020-11-17 13:00:00,2020-11-16 18:00:00,2020-11-18 05:00:00,2020-11-17 08:00:00,2020-11-17 15:00:00,16,19
S0244,,2020-12-17 11:00:00,2020-12-17 14:00:00,2020-12-16 18:00:00,2020-12-18 05:00:00,2020-12-17 09:00:00,2020-12-17 16:00:00,17,20
S0245,,2021-01-19 08:00:00,2021-01-19 15:00:00,2021-01-18 18:00:00,2021-01-20 05:00:00,2021-01-19 06:00:00,2021-01-19 17:00:00,14,21
S0247,,2021-01-25 07:00:00,2021-01-25 18:00:00,2021-01-24 18:00:00,2021-01-26 05:00:00,2021-01-25 05:00:00,2021-01-25 20:00:00,13,24
S0248,,2021-01-27 07:00:00,2021-01-27 15:00:00,2021-01-26 17:00:00,2021-01-28 04:00:00,2021-01-27 05:00:00,2021-01-27 17:00:00,14,22
S0252,,2021-02-20 08:00:00,2021-02-20 15:00:00,2021-02-19 18:00:00,2021-02-21 05:00:00,2021-02-20 06:00:00,2021-02-20 17:00:00,14,21
S0254,,2021-02-27 09:00:00,2021-02-27 15:00:00,2021-02-26 18:00:00,2021-02-28 05:00:00,2021-02-27 07:00:00,2021-02-27 17:00:00,15,21
S0256,,2021-03-09 10:00:00,2021-03-09 15:00:00,2021-03-08 18:00:00,2021-03-10 05:00:00,2021-03-09 08:00:00,2021-03-09 17:00:00,16,21
S0257,,2021-03-15 07:00:00,2021-03-15 22:00:00,2021-03-14 20:00:00,2021-03-16 07:00:00,2021-03-15 05:00:00,2021-03-16 00:00:00,11,26
S0258,,2021-03-23 06:00:00,2021-03-23 17:00:00,2021-03-22 18:00:00,2021-03-24 05:00:00,2021-03-23 04:00:00,2021-03-23 19:00:00,12,23
S0259,,2021-03-25 07:00:00,2021-03-25 17:00:00,2021-03-24 18:00:00,2021-03-26 05:00:00,2021-03-25 05:00:00,2021-03-25 19:00:00,13,23
S0262,,2021-04-13 10:00:00,2021-04-13 18:00:00,2021-04-12 20:00:00,2021-04-14 07:00:00,2021-04-13 08:00:00,2021-04-13 20:00:00,14,22
S0263,,2021-04-20 11:00:00,2021-04-20 16:00:00,2021-04-19 20:00:00,2021-04-21 07:00:00,2021-04-20 09:00:00,2021-04-20 18:00:00,15,20
S0265,,2021-04-24 11:00:00,2021-04-24 16:00:00,2021-04-23 20:00:00,2021-04-25 07:00:00,2021-04-24 09:00:00,2021-04-24 18:00:00,15,20
S0270,,2021-05-08 11:00:00,2021-05-08 16:00:00,2021-05-07 20:00:00,2021-05-09 07:00:00,2021-05-08 09:00:00,2021-05-08 18:00:00,15,20
S0271,,2021-05-15 13:00:00,2021-05-15 17:00:00,2021-05-14 21:00:00,2021-05-16 08:00:00,2021-05-15 11:00:00,2021-05-15 19:00:00,16,20
S0272,,2021-05-19 11:00:00,2021-05-19 18:00:00,2021-05-18 20:00:00,2021-05-20 07:00:00,2021-05-19 09:00:00,2021-05-19 20:00:00,15,22
S0273,,2021-05-20 06:00:00,2021-05-20 18:00:00,2021-05-19 18:00:00,2021-05-21 05:00:00,2021-05-20 04:00:00,2021-05-20 20:00:00,12,24
S0274,,2021-05-21 05:00:00,2021-05-21 16:00:00,2021-05-20 16:00:00,2021-05-22 03:00:00,2021-05-21 03:00:00,2021-05-21 18:00:00,13,24
S0275,,2021-06-06 12:00:00,2021-06-06 17:00:00,2021-06-05 20:00:00,2021-06-07 07:00:00,2021-06-06 10:00:00,2021-06-06 19:00:00,16,21
S0276,,2021-06-07 13:00:00,2021-06-07 16:00:00,2021-06-06 20:00:00,2021-06-08 07:00:00,2021-06-07 11:00:00,2021-06-07 18:00:00,17,20
S0278,,2021-06-09 11:00:00,2021-06-09 17:00:00,2021-06-08 20:00:00,2021-06-10 07:00:00,2021-06-09 09:00:00,2021-06-09 19:00:00,15,21
S0279,,2021-08-17 09:00:00,2021-08-17 18:00:00,2021-08-16 20:00:00,2021-08-18 07:00:00,2021-08-17 07:00:00,2021-08-17 20:00:00,13,22
S0280,,2021-08-18 10:00:00,2021-08-18 17:00:00,2021-08-17 20:00:00,2021-08-19 07:00:00,2021-08-18 08:00:00,2021-08-18 19:00:00,14,21
S0283,,2021-10-24 07:00:00,2021-10-24 15:00:00,2021-10-23 17:00:00,2021-10-25 04:00:00,2021-10-24 05:00:00,2021-10-24 17:00:00,14,22
S0284,,2021-12-09 11:00:00,2021-12-09 14:00:00,2021-12-08 18:00:00,2021-12-10 05:00:00,2021-12-09 09:00:00,2021-12-09 16:00:00,17,20
S0286,,2021-12-24 09:00:00,2021-12-24 14:00:00,2021-12-23 18:00:00,2021-12-25 05:00:00,2021-12-24 07:00:00,2021-12-24 16:00:00,15,20
